"","node_id","module","layer_id","flow","node_name","state_node","k_total","k_m","z_score","c_score","role"
"1",1,5,1,0.000757117,"cluster_1",1,64,58,1.14940155688781,0.17236328125,"peripheral"
"2",2,27,1,0.000217511,"cluster_10",2,22,8,-0.0719611874062685,0.56198347107438,"peripheral"
"3",2,2,2,6.39042e-05,"cluster_10",3,2,2,-0.38464718253297,0,"peripheral"
"4",3,1,1,0.00128657,"cluster_100",4,222,215,1.51212162148777,0.0610745881016153,"peripheral"
"5",3,2,2,0.000188141,"cluster_100",5,5,4,-0.247912137579389,0.32,"peripheral"
"6",4,19,1,0.000341979,"cluster_1000",6,11,10,1.257297201511,0.165289256198347,"peripheral"
"7",5,11,1,0.000196563,"cluster_1001",7,15,15,-0.223255714730072,0,"peripheral"
"8",6,3,1,0.00042567,"cluster_1002",8,37,37,-0.0525442112901633,0,"peripheral"
"9",7,5,1,0.000815973,"cluster_1003",9,87,63,1.37293876126925,0.415906989034219,"peripheral"
"10",7,12,2,6.65297e-05,"cluster_1003",10,2,1,-0.566210810088652,0.5,"peripheral"
"11",8,3,1,0.000717765,"cluster_1004",11,54,54,0.784439563827949,0,"peripheral"
"12",8,8,2,0.000392494,"cluster_1004",12,10,10,0.525994397168481,0,"peripheral"
"13",9,29,1,4.91941e-05,"cluster_1006",13,3,1,-1.56592503400425,0.666666666666667,"connector"
"14",9,16,2,6.38966e-05,"cluster_1006",14,1,1,-1.083514740496,0,"peripheral"
"15",10,11,1,0.000662092,"cluster_1007",15,41,39,1.69650465578306,0.138013087447948,"peripheral"
"16",10,22,2,0.000155429,"cluster_1007",16,3,2,-0.404521133170631,0.444444444444444,"peripheral"
"17",11,6,1,0.000537152,"cluster_1008",17,23,20,-0.255051176578698,0.226843100189036,"peripheral"
"18",11,209,2,0.000164117,"cluster_1008",18,4,1,NA,0.375,"peripheral"
"19",12,31,1,8.33476e-05,"cluster_1009",19,1,1,-1.12084082411619,0,"peripheral"
"20",16,199,1,4.05337e-05,"cluster_1013",23,1,1,NA,0,"peripheral"
"21",16,121,2,0.00031913,"cluster_1013",24,1,1,NA,0,"peripheral"
"22",17,19,1,0.000392479,"cluster_1014",25,12,10,1.257297201511,0.402777777777778,"peripheral"
"23",17,69,2,0.000171091,"cluster_1014",26,4,2,0.282038037408883,0.5,"peripheral"
"24",18,104,1,0.000350263,"cluster_1015",27,1,1,NA,0,"peripheral"
"25",19,4,1,0.000292287,"cluster_1016",28,20,15,0.288880388051822,0.42,"peripheral"
"26",19,4,2,0.000266109,"cluster_1016",29,9,6,-0.657758422025686,0.493827160493827,"peripheral"
"27",21,39,1,0.000222452,"cluster_1018",31,10,7,0.246686939460418,0.42,"peripheral"
"28",21,48,2,7.39268e-05,"cluster_1018",32,1,1,-0.556234200555013,0,"peripheral"
