"","node_id","module","layer_id","flow","node_name","state_node","k_total","k_m","z_score","c_score","role"
"1",1,9,1,0.00062461,"cluster_1",1,27,26,1.3858473864592,0.0713305898491086,"peripheral"
"2",1,64,2,0.000154157,"cluster_1",2,3,2,0.214598768819738,0.444444444444444,"peripheral"
"3",2,1,1,0.000608597,"cluster_10",3,91,89,0.192675022446145,0.0432314937809444,"peripheral"
"4",2,2,2,0.000314911,"cluster_10",4,13,11,-0.180722434295711,0.272189349112426,"peripheral"
"5",3,1,1,0.00109855,"cluster_100",5,154,141,1.06020896097215,0.157952437173216,"peripheral"
"6",3,12,2,0.000207345,"cluster_100",6,7,3,-0.650266967406361,0.693877551020408,"connector"
"7",4,96,1,9.27873e-05,"cluster_1000",7,4,1,-0.544704779401922,0.625,"connector"
"8",4,172,2,2.53793e-05,"cluster_1000",8,1,1,-0.866025403784439,0,"peripheral"
"9",5,1,1,0.000385274,"cluster_1001",9,53,43,-0.574758846249934,0.326806692773229,"peripheral"
"10",5,6,2,7.55891e-05,"cluster_1001",10,4,2,-0.371550874829011,0.5,"peripheral"
"11",6,2,2,0.000413395,"cluster_1002",11,15,12,-0.106247507082429,0.346666666666667,"peripheral"
"12",7,14,1,0.00075994,"cluster_1003",12,25,19,1.55491720926719,0.4096,"peripheral"
"13",7,20,2,6.29977e-05,"cluster_1003",13,1,1,-0.806659735958115,0,"peripheral"
"14",8,1,1,9.77222e-05,"cluster_1004",14,12,11,-1.10862588534286,0.152777777777778,"peripheral"
"15",8,5,2,4.29509e-05,"cluster_1004",15,1,1,-0.974851550942108,0,"peripheral"
"16",9,18,1,0.000210867,"cluster_1006",16,9,6,-0.162183487908888,0.518518518518519,"peripheral"
"17",9,20,2,6.83731e-05,"cluster_1006",17,1,1,-0.806659735958115,0,"peripheral"
"18",10,1,1,0.00076849,"cluster_1007",18,107,84,0.109258297587875,0.396715870381693,"peripheral"
"19",10,6,2,0.000167221,"cluster_1007",19,6,6,0.0785564706781337,0,"peripheral"
"20",11,186,1,4.89833e-05,"cluster_1008",20,2,1,-0.577350269189626,0.5,"peripheral"
"21",12,10,1,8.58152e-05,"cluster_1009",21,5,3,-1.10969537777502,0.56,"peripheral"
"22",12,3,2,0.00011707,"cluster_1009",22,9,9,-0.82358829805993,0,"peripheral"
"23",13,70,1,8.56116e-05,"cluster_101",23,4,1,-1.58113883008419,0.75,"connector"
"24",14,1,1,3.85752e-05,"cluster_1010",24,6,6,-1.19204261020113,0,"peripheral"
"25",14,2,2,1.9173e-05,"cluster_1010",25,1,1,-0.925471706428529,0,"peripheral"
"26",15,1,1,0.00015419,"cluster_1012",26,28,27,-0.841692365796396,0.068877551020408,"peripheral"
"27",18,125,1,0.000340599,"cluster_1015",29,1,1,NA,0,"peripheral"
"28",19,4,1,0.000579878,"cluster_1016",30,57,53,0.525841985949016,0.133579562942444,"peripheral"
"29",19,3,2,0.000467443,"cluster_1016",31,27,22,-0.107434499053058,0.323731138545953,"peripheral"
"30",20,27,1,0.000251353,"cluster_1017",32,4,3,-0.531033965669567,0.375,"peripheral"
"31",20,69,2,0.000126274,"cluster_1017",33,1,1,-0.816496580927726,0,"peripheral"
"32",22,2,1,0.000271111,"cluster_1019",35,9,9,-0.329672288722275,0,"peripheral"
"33",22,2,2,2.88976e-05,"cluster_1019",36,1,1,-0.925471706428529,0,"peripheral"
"34",23,74,1,0.000524707,"cluster_1020",37,2,2,1.15470053837925,0,"peripheral"
"35",26,44,1,0.000263783,"cluster_1024",40,2,2,0.193649167310371,0,"peripheral"
"36",27,34,1,0.000169189,"cluster_1025",41,5,2,-0.409673245199351,0.48,"peripheral"
"37",27,79,2,3.12201e-05,"cluster_1025",42,1,1,-0.641940738766369,0,"peripheral"
"38",28,1,1,0.00127372,"cluster_1026",43,189,184,1.77759279475326,0.0619803476946335,"peripheral"
"39",28,6,2,7.93045e-05,"cluster_1026",44,3,2,-0.371550874829011,0.444444444444444,"peripheral"
"40",29,178,2,0.00024807,"cluster_1027",45,5,2,1.15470053837925,0.48,"peripheral"
"41",30,15,1,0.000317683,"cluster_1028",46,26,8,-0.18423027150083,0.42603550295858,"peripheral"
"42",30,30,2,0.000445818,"cluster_1028",47,11,3,0.163663417676994,0.826446280991736,"connector"
"43",31,80,2,0.000227315,"cluster_1029",48,1,1,-0.577350269189626,0,"peripheral"
"44",32,1,1,0.000250355,"cluster_103",49,36,34,-0.724908950994819,0.106481481481482,"peripheral"
"45",32,23,2,3.333e-05,"cluster_103",50,1,1,-0.974924685335489,0,"peripheral"
"46",33,70,1,0.00013783,"cluster_1030",51,2,2,0,0,"peripheral"
"47",34,170,1,0.00015615,"cluster_1031",52,9,2,0.866025403784439,0.345679012345679,"peripheral"
"48",34,60,2,4.2812e-05,"cluster_1031",53,2,1,-0.49147318718299,0.5,"peripheral"
"49",35,2,1,0.000248639,"cluster_1032",54,9,8,-0.404147215935557,0.197530864197531,"peripheral"
"50",35,2,2,0.000595978,"cluster_1032",55,23,21,0.564026837837107,0.162570888468809,"peripheral"
"51",37,8,1,0.000611011,"cluster_1035",57,71,25,0.305607693017883,0.540368974409839,"peripheral"
"52",37,134,2,0.000118441,"cluster_1035",58,3,1,-0.447213595499958,0.444444444444444,"peripheral"
"53",39,1,1,0.00054801,"cluster_1037",60,68,46,-0.524708811334972,0.497404844290657,"peripheral"
"54",39,99,2,0.000156505,"cluster_1037",61,5,2,0.27524094128159,0.48,"peripheral"
"55",40,101,1,0.000316966,"cluster_1038",62,39,2,0,0.777120315581854,"connector"
"56",40,92,2,0.000143032,"cluster_1038",63,7,1,-0.641940738766369,0.571428571428571,"peripheral"
"57",42,194,2,7.10618e-05,"cluster_104",65,1,1,NA,0,"peripheral"
"58",46,2,1,0.000108373,"cluster_1043",69,5,4,-0.702046924788684,0.32,"peripheral"
"59",47,9,1,0.000157881,"cluster_1046",70,8,4,-0.956743264505087,0.59375,"peripheral"
"60",48,4,1,4.52222e-05,"cluster_1047",71,4,4,-1.48455318008799,0,"peripheral"
"61",48,167,2,0.000215628,"cluster_1047",72,1,1,NA,0,"peripheral"
"62",49,44,1,0.000429703,"cluster_1048",73,4,4,2.13014084041408,0.375,"peripheral"
"63",50,21,1,0.000371715,"cluster_105",74,4,4,-0.255883157859579,0,"peripheral"
"64",51,28,1,0.000268032,"cluster_1050",75,17,14,1.06077527950948,0.304498269896194,"peripheral"
"65",51,35,2,0.000122248,"cluster_1050",76,2,2,-0.116834127225664,0,"peripheral"
"66",52,4,1,0.000505716,"cluster_1051",77,54,45,0.197614203738893,0.313443072702332,"peripheral"
"67",52,3,2,0.000464283,"cluster_1051",78,28,28,0.223098023565499,0,"peripheral"
"68",53,67,2,9.5929e-05,"cluster_1052",79,1,1,-0.408248290463863,0,"peripheral"
"69",54,4,1,9.55945e-05,"cluster_1054",80,8,5,-1.44352470731172,0.53125,"peripheral"
"70",54,3,2,0.000103811,"cluster_1054",81,6,6,-0.988854559369208,0,"peripheral"
"71",55,78,1,0.00013998,"cluster_1055",82,2,2,0.377964473009227,0,"peripheral"
"72",56,96,1,4.22224e-05,"cluster_1056",83,2,1,-0.544704779401922,0.5,"peripheral"
"73",57,28,1,0.000190738,"cluster_1057",84,9,6,-0.942911359563979,0.567901234567901,"peripheral"
"74",57,35,2,5.48526e-05,"cluster_1057",85,1,1,-0.554962104321903,0,"peripheral"
"75",58,1,1,0.00068132,"cluster_1058",86,93,74,-0.0575751521286634,0.383165683894092,"peripheral"
"76",58,6,2,0.000208649,"cluster_1058",87,8,6,0.0785564706781337,0.40625,"peripheral"
"77",59,1,1,0.000137564,"cluster_1059",88,22,22,-0.925109090654665,0.0867768595041321,"peripheral"
"78",60,21,1,0.000265891,"cluster_106",89,3,3,-1.02353263143832,0.444444444444444,"peripheral"
"79",61,15,1,0.000788942,"cluster_1060",90,27,15,0.953662581886652,0.606310013717421,"peripheral"
"80",61,5,2,0.000303781,"cluster_1060",91,8,7,0.113591398109776,0.21875,"peripheral"
"81",64,13,1,0.00037056,"cluster_1066",94,13,12,-0.25038096436918,0.142011834319526,"peripheral"
"82",64,12,2,7.09888e-05,"cluster_1066",95,2,2,-0.901247200440395,0,"peripheral"
"83",65,10,1,2.23448e-05,"cluster_1067",96,1,1,-1.30255278136075,0,"peripheral"
"84",66,13,1,0.000316417,"cluster_1068",97,12,12,-0.25038096436918,0,"peripheral"
"85",66,169,2,0.000216369,"cluster_1068",98,1,1,NA,0,"peripheral"
"86",67,2,2,2.61965e-05,"cluster_1069",99,1,1,-0.925471706428529,0,"peripheral"
"87",68,1,1,5.85938e-06,"cluster_107",100,1,1,-1.2754593350594,0,"peripheral"
"88",68,162,2,0.000268614,"cluster_107",101,3,2,1.15470053837925,0.444444444444444,"peripheral"
