"","node_id","module","layer_id","flow","node_name","state_node","k_total","k_m","z_score","c_score","role"
"89",69,40,1,0.000254316,"cluster_1070",102,6,5,0.979130048652329,0.277777777777778,"peripheral"
"90",69,32,2,0.000511959,"cluster_1070",103,11,8,2.52912007217597,0.429752066115702,"module hub"
"91",70,36,1,0.000408018,"cluster_1071",104,14,8,1.78533479059031,0.571428571428571,"peripheral"
"92",70,17,2,0.000303605,"cluster_1071",105,3,3,0.0847719928300633,0,"peripheral"
"93",71,3,1,0.000109261,"cluster_1073",106,6,4,-1.09903206690873,0.5,"peripheral"
"94",71,3,2,5.15911e-05,"cluster_1073",107,3,3,-1.15412082067849,0.444444444444444,"peripheral"
"95",72,8,1,0.000120072,"cluster_1074",108,12,10,-0.840421155799179,0.291666666666667,"peripheral"
"96",73,22,1,0.00055069,"cluster_1075",109,7,7,1.79435877563047,0,"peripheral"
"97",73,72,2,0.000174323,"cluster_1075",110,1,1,-0.866025403784439,0,"peripheral"
"98",74,222,1,5.96372e-05,"cluster_1076",111,2,1,NA,0.5,"peripheral"
"99",77,1,1,0.000285714,"cluster_108",114,35,28,-0.825009020824742,0.460408163265306,"peripheral"
"100",77,5,2,0.000135305,"cluster_108",115,3,3,-0.61203723459148,0,"peripheral"
"101",78,147,1,0.000261538,"cluster_1081",116,1,1,NA,0,"peripheral"
"102",81,5,1,2.59009e-05,"cluster_1087",119,1,1,-0.974851550942108,0,"peripheral"
"103",82,19,1,0.000316313,"cluster_1088",120,18,5,-0.0486531674141649,0.537037037037037,"peripheral"
"104",82,3,2,0.000230045,"cluster_1088",121,8,6,-0.988854559369208,0.40625,"peripheral"
"105",83,4,1,0.000675916,"cluster_1089",122,69,61,0.854069768159139,0.263810123923545,"peripheral"
"106",83,3,2,0.00044207,"cluster_1089",123,27,26,0.11292051602598,0.0713305898491086,"peripheral"
"107",86,82,2,0.000357321,"cluster_1092",126,4,3,1.56524758424985,0.375,"peripheral"
"108",87,4,1,0.00098747,"cluster_1093",127,112,65,1.0181836592642,0.5859375,"peripheral"
"109",87,3,2,0.00062736,"cluster_1093",128,35,29,0.278186777335258,0.303673469387755,"peripheral"
"110",88,7,1,0.000486999,"cluster_1094",129,47,47,0.563873415206534,0,"peripheral"
"111",88,24,2,0.000116084,"cluster_1094",130,1,1,-0.404061017820884,0,"peripheral"
"112",89,10,1,0.000237407,"cluster_1095",131,15,12,-0.241837061639247,0.337777777777778,"peripheral"
"113",89,208,2,0.000112417,"cluster_1095",132,2,1,NA,0.5,"peripheral"
"114",90,4,1,0.00091704,"cluster_1096",133,85,76,1.46949685980312,0.27598615916955,"peripheral"
"115",90,3,2,0.000606084,"cluster_1096",134,35,32,0.443453038644536,0.156734693877551,"peripheral"
"116",91,8,1,0.000449097,"cluster_1097",135,54,26,0.382009616272354,0.569272976680384,"peripheral"
"117",91,6,2,2.13392e-05,"cluster_1097",136,1,1,-0.484077711205797,0,"peripheral"
"118",93,214,1,1.88923e-05,"cluster_1099",138,1,1,NA,0,"peripheral"
"119",94,1,1,0.000851152,"cluster_11",139,133,133,0.926742201198915,0.0440952004070327,"peripheral"
"120",94,6,2,0.000173779,"cluster_11",140,7,3,-0.259024038452225,0.693877551020408,"connector"
"121",96,34,1,0.000300051,"cluster_1100",142,6,4,0.92176480169854,0.5,"peripheral"
"122",96,30,2,0.000170694,"cluster_1100",143,4,4,0.818317088384971,0,"peripheral"
"123",98,1,1,0.000955137,"cluster_1103",145,146,145,1.12694234085876,0.0404391067742541,"peripheral"
"124",98,11,2,0.00026425,"cluster_1103",146,8,7,0.502822377654078,0.21875,"peripheral"
"125",99,186,1,0.000175438,"cluster_1105",147,8,2,1.15470053837925,0.6875,"connector"
"126",99,3,2,0.000262039,"cluster_1105",148,16,15,-0.493055775441373,0.1171875,"peripheral"
"127",100,1,1,0.000955137,"cluster_1106",149,146,145,1.12694234085876,0.0535747795083505,"peripheral"
"128",100,11,2,0.00026425,"cluster_1106",150,8,7,0.502822377654078,0.21875,"peripheral"
"129",101,1,1,0.000576782,"cluster_1107",151,89,87,0.159308332502837,0.107814669864916,"peripheral"
"130",101,39,2,0.000100032,"cluster_1107",152,4,1,-0.258198889747161,0.625,"connector"
"131",102,8,1,0.000422349,"cluster_1109",153,43,13,-0.611215386035767,0.736614386154678,"connector"
"132",102,6,2,6.10595e-05,"cluster_1109",154,2,1,-0.484077711205797,0.5,"peripheral"
"133",103,1,1,0.000562088,"cluster_111",155,80,77,-0.00752511721370179,0.0731249999999999,"peripheral"
"134",103,2,2,0.000580095,"cluster_111",156,26,25,0.861926546690234,0.0739644970414202,"peripheral"
"135",104,1,1,0.000656525,"cluster_1111",157,94,91,0.226041712389453,0.159574468085106,"peripheral"
"136",104,30,2,0.000410238,"cluster_1111",158,13,4,0.818317088384971,0.769230769230769,"connector"
"137",105,182,2,5.19887e-05,"cluster_1112",159,2,1,-0.577350269189626,0.5,"peripheral"
"138",106,9,1,0.000303449,"cluster_1113",160,13,11,-0.211373511925542,0.378698224852071,"peripheral"
"139",107,2,1,2.24895e-05,"cluster_1114",161,1,1,-0.925471706428529,0,"peripheral"
"140",107,2,2,0.000238521,"cluster_1114",162,11,10,-0.255197361508993,0.165289256198347,"peripheral"
"141",108,1,1,0.000711449,"cluster_1115",163,107,101,0.392875162105991,0.191807144728797,"peripheral"
"142",108,6,2,0.000163036,"cluster_1115",164,7,4,-0.146497202075438,0.571428571428571,"peripheral"
"143",109,1,1,0.00105171,"cluster_1116",165,152,151,1.22704241068869,0.0762638504155124,"peripheral"
"144",109,2,2,0.00054422,"cluster_1116",166,25,24,0.787451619476953,0.1504,"peripheral"
"145",110,222,1,5.41314e-05,"cluster_1118",167,2,1,NA,0.5,"peripheral"
"146",111,10,1,3.74464e-05,"cluster_1119",168,2,2,-1.20612407956789,0,"peripheral"
"147",112,1,1,0.0017512,"cluster_112",169,257,244,2.7785934930525,0.146951505700313,"module hub"
"148",112,99,2,6.88575e-05,"cluster_112",170,2,1,-0.55048188256318,0.5,"peripheral"
"149",113,76,1,8.96295e-05,"cluster_1120",171,6,4,0.889713079041741,0.444444444444444,"peripheral"
"150",113,51,2,0.000245953,"cluster_1120",172,3,3,0.894427190999916,0,"peripheral"
"151",114,105,1,0.000340599,"cluster_1121",173,1,1,NA,0,"peripheral"
"152",116,77,2,0.000100111,"cluster_1124",175,2,2,0.256776295506548,0,"peripheral"
"153",117,9,1,1.96109e-05,"cluster_1125",176,1,1,-1.27618744418203,0,"peripheral"
"154",118,1,1,0.000185097,"cluster_1127",177,34,34,-0.724908950994819,0,"peripheral"
"155",118,2,2,4.0543e-05,"cluster_1127",178,2,2,-0.850996779215248,0,"peripheral"
"156",119,1,1,0.000237461,"cluster_1128",179,38,38,-0.658175571108203,0.0997229916897509,"peripheral"
"157",120,15,1,0.00041304,"cluster_1129",180,13,12,0.465994216149159,0.272189349112426,"peripheral"
"158",120,5,2,0.000294283,"cluster_1129",181,8,8,0.29499855628509,0,"peripheral"
"159",122,10,1,2.67163e-05,"cluster_1130",183,3,2,-1.20612407956789,0.444444444444444,"peripheral"
"160",125,106,1,0.000340599,"cluster_1134",186,1,1,NA,0,"peripheral"
"161",126,1,1,0.00110942,"cluster_1135",187,158,156,1.31045913554695,0.119932703092453,"peripheral"
"162",126,2,2,0.00106317,"cluster_1135",188,44,37,1.75562567324962,0.316115702479339,"peripheral"
"163",127,10,1,0.000401169,"cluster_1136",189,51,17,0.240306447325074,0.536716647443291,"peripheral"
"164",127,66,2,8.52845e-05,"cluster_1136",190,2,1,-0.333333333333333,0.5,"peripheral"
"165",129,1,1,0.000801535,"cluster_114",192,108,94,0.276091747304414,0.27863511659808,"peripheral"
"166",129,5,2,0.000109676,"cluster_114",193,3,2,-0.793444392766794,0.444444444444444,"peripheral"
"167",130,19,1,0.000138265,"cluster_1140",194,7,3,-0.583838008969979,0.653061224489796,"connector"
"168",131,1,1,0.000199138,"cluster_1141",195,29,28,-0.825009020824742,0.190249702734839,"peripheral"
"169",131,62,2,4.89754e-05,"cluster_1141",196,2,1,-1.02564518813674,0.5,"peripheral"
"170",133,138,1,0.000168236,"cluster_1144",198,2,1,-0.577350269189626,0.5,"peripheral"
"171",133,140,2,0.000297073,"cluster_1144",199,1,1,NA,0,"peripheral"
"172",134,70,1,0.000260332,"cluster_1145",200,7,2,0,0.775510204081633,"connector"
"173",134,41,2,5.97119e-05,"cluster_1145",201,1,1,-0.594088525786005,0,"peripheral"
"174",135,117,1,0.000340599,"cluster_1146",202,1,1,NA,0,"peripheral"
"175",136,76,1,0.000203356,"cluster_1149",203,14,4,0.889713079041741,0.530612244897959,"peripheral"
"176",136,51,2,0.000310877,"cluster_1149",204,5,4,1.78885438199983,0.32,"peripheral"
"177",137,16,1,6.9688e-05,"cluster_115",205,2,1,-1.35932533380662,0.5,"peripheral"
"178",138,112,1,0.000340599,"cluster_1150",206,1,1,NA,0,"peripheral"
"179",139,28,1,0.000365311,"cluster_1151",207,31,11,0.30939278985693,0.518210197710718,"peripheral"
"180",139,35,2,8.17332e-05,"cluster_1151",208,1,1,-0.554962104321903,0,"peripheral"
"181",140,3,1,0.000352369,"cluster_1152",209,23,22,-0.107434499053058,0.0831758034026464,"peripheral"
"182",140,3,2,0.000183006,"cluster_1152",210,13,13,-0.603233282980892,0,"peripheral"
"183",141,9,1,7.46473e-05,"cluster_1154",211,4,4,-0.956743264505087,0.375,"peripheral"
"184",142,1,1,0.00116051,"cluster_1155",212,170,167,1.49397593023515,0.15363321799308,"peripheral"
"185",142,2,2,0.000281858,"cluster_1155",213,11,7,-0.478622143148838,0.545454545454545,"peripheral"
"186",144,31,1,0.000167334,"cluster_1157",215,3,2,-0.499227377623237,0.444444444444444,"peripheral"
"187",144,11,2,0.00194744,"cluster_1157",216,53,32,4.79520852835962,0.654325382698469,"network hub"
"188",145,1,1,0.00151621,"cluster_1159",217,200,160,1.37719251543357,0.4313,"peripheral"
"189",145,6,2,0.000197432,"cluster_1159",218,7,3,-0.259024038452225,0.693877551020408,"connector"
"190",146,1,1,0.0010806,"cluster_116",219,157,154,1.27709244560365,0.154326747535397,"peripheral"
"191",146,2,2,0.000444163,"cluster_116",220,19,15,0.117177274557416,0.43213296398892,"peripheral"
"192",147,1,1,0.000259255,"cluster_1160",221,42,42,-0.591442191221587,0.13265306122449,"peripheral"
"193",147,2,2,0.000342758,"cluster_1160",222,17,17,0.26612712898398,0,"peripheral"
"194",148,16,1,0.000105881,"cluster_1161",223,5,4,-0.776757333603786,0.32,"peripheral"
"195",149,1,1,0.00120872,"cluster_1162",224,178,175,1.62744269000838,0.156609014013382,"peripheral"
"196",149,12,2,0.000338222,"cluster_1162",225,14,5,-0.148306501338293,0.540816326530612,"peripheral"
"197",150,14,1,2.32966e-05,"cluster_1164",226,1,1,-1.79299065757605,0,"peripheral"
"198",151,1,1,0.000680658,"cluster_1165",227,85,71,-0.107625187043625,0.405813148788927,"peripheral"
"199",151,6,2,0.000210072,"cluster_1165",228,8,6,0.0785564706781337,0.40625,"peripheral"
"200",152,183,1,3.20826e-05,"cluster_1167",229,4,1,-0.670820393249937,0.375,"peripheral"
"201",154,114,1,0.000340599,"cluster_1169",231,1,1,NA,0,"peripheral"
"202",155,76,1,4.63415e-05,"cluster_1171",232,4,1,-0.945320146481849,0.375,"peripheral"
"203",157,38,1,9.00923e-05,"cluster_1174",234,4,1,-1.12249721603218,0.75,"connector"
"204",157,32,2,4.26207e-05,"cluster_1174",235,1,1,-0.764617696239247,0,"peripheral"
"205",158,10,1,0.000207273,"cluster_1175",236,23,9,-0.531123167017839,0.706994328922495,"connector"
"206",158,3,2,3.48206e-05,"cluster_1175",237,2,2,-1.20920957444825,0,"peripheral"
"207",159,3,1,0.000774085,"cluster_1176",238,39,37,0.718896807493333,0.0973044049967127,"peripheral"
"208",159,3,2,0.000467648,"cluster_1176",239,31,30,0.333275531105017,0.231009365244537,"peripheral"
"209",160,1,1,0.000341239,"cluster_1177",240,56,55,-0.374558706590087,0.165178571428572,"peripheral"
"210",161,195,1,0.000133594,"cluster_1178",241,2,1,NA,0.5,"peripheral"
"211",162,1,1,0.0017817,"cluster_1179",242,260,252,2.91206025282573,0.21008875739645,"module hub"
"212",162,2,2,0.00011214,"cluster_1179",243,4,3,-0.776521852001966,0.375,"peripheral"
"213",163,1,1,0.000932895,"cluster_118",244,120,101,0.392875162105991,0.379166666666667,"peripheral"
"214",163,46,2,4.61223e-05,"cluster_118",245,1,1,-0.75,0,"peripheral"
"215",164,1,1,0.000214312,"cluster_1181",246,27,24,-0.891742400711357,0.323731138545953,"peripheral"
"216",164,41,2,9.10249e-05,"cluster_1181",247,2,1,-0.594088525786005,0.5,"peripheral"
"217",165,7,1,0.00038281,"cluster_1182",248,43,43,0.321094583659276,0.0454299621416983,"peripheral"
"218",166,9,1,0.000216864,"cluster_1184",249,10,10,-0.317854905151192,0.32,"peripheral"
"219",167,8,1,1.21098e-05,"cluster_1185",250,1,1,-1.52803846508942,0,"peripheral"
"220",168,4,1,0.000742805,"cluster_1186",251,69,67,1.10024060481673,0.186935517748372,"peripheral"
"221",168,3,2,0.000650571,"cluster_1186",252,39,37,0.718896807493333,0.145956607495069,"peripheral"
"222",169,19,1,0.000425441,"cluster_1188",253,22,7,0.486531674141649,0.681818181818182,"connector"
"223",169,19,2,3.54157e-05,"cluster_1188",254,2,0,-1.3866152713037,0.5,"peripheral"
"224",170,74,1,0.000271271,"cluster_1189",255,1,1,-0.577350269189626,0,"peripheral"
"225",173,7,1,0.000502051,"cluster_1191",258,49,49,0.685262830980163,0.0783007080383175,"peripheral"
"226",174,1,1,0.000131432,"cluster_1193",259,25,25,-0.875059055739703,0.2112,"peripheral"
"227",174,2,2,2.23292e-05,"cluster_1193",260,1,1,-0.925471706428529,0,"peripheral"
"228",175,16,1,0.000210297,"cluster_1194",261,16,5,-0.582568000202839,0.578125,"peripheral"
"229",175,17,2,0.000191115,"cluster_1194",262,3,3,0.0847719928300633,0,"peripheral"
"230",176,21,1,0.000447368,"cluster_1195",263,5,5,0.511766315719159,0.48,"peripheral"
"231",176,46,2,0.000105492,"cluster_1195",264,1,1,-0.75,0,"peripheral"
"232",177,7,1,3.72622e-05,"cluster_1196",265,6,6,-1.92460960815286,0,"peripheral"
"233",178,3,1,0.000714901,"cluster_1197",266,41,39,0.829074315032852,0.138013087447948,"peripheral"
"234",178,3,2,0.00132614,"cluster_1197",267,71,67,2.37155942058611,0.253521126760563,"peripheral"
"235",179,1,1,0.000908152,"cluster_1198",268,124,119,0.693175371595761,0.207075962539022,"peripheral"
"236",179,23,2,6.87759e-05,"cluster_1198",269,2,1,-0.974924685335489,0.5,"peripheral"
"237",180,132,1,0.000171599,"cluster_12",270,10,3,1.63299316185545,0.76,"connector"
"238",180,149,2,0.000266659,"cluster_12",271,1,1,NA,0,"peripheral"
"239",181,8,1,0.000337843,"cluster_120",272,27,20,-0.0764019232544708,0.430727023319616,"peripheral"
"240",182,138,1,0.000287148,"cluster_1200",273,2,2,1.15470053837925,0,"peripheral"
"241",183,1,1,0.000955137,"cluster_1201",274,146,145,1.12694234085876,0.174610621129668,"peripheral"
"242",183,11,2,0.00026425,"cluster_1201",275,8,7,0.502822377654078,0.40625,"peripheral"
"243",184,10,1,0.000773733,"cluster_1202",276,79,27,1.20459346525372,0.748277519628265,"connector"
"244",184,3,2,0.000480601,"cluster_1202",277,25,18,-0.327789514132095,0.5248,"peripheral"
"245",185,1,1,0.00105156,"cluster_1203",278,149,141,1.06020896097215,0.243322372866087,"peripheral"
"246",185,6,2,8.02222e-05,"cluster_1203",279,3,2,-0.371550874829011,0.444444444444444,"peripheral"
"247",186,4,1,0.000461909,"cluster_1205",280,44,41,0.0335003126338313,0.129132231404959,"peripheral"
"248",186,3,2,0.000276594,"cluster_1205",281,18,17,-0.382878267901855,0.104938271604938,"peripheral"
"249",187,1,1,0.00011946,"cluster_1206",282,14,12,-1.0919425403712,0.36734693877551,"peripheral"
"250",187,2,2,0.000224469,"cluster_1206",283,10,10,-0.255197361508993,0,"peripheral"
"251",190,74,1,0.00022582,"cluster_121",286,1,1,-0.577350269189626,0,"peripheral"
"252",191,57,1,0.00022179,"cluster_1210",287,1,1,-0.866025403784439,0,"peripheral"
"253",192,22,1,4.96109e-05,"cluster_1213",288,1,1,-1.00779054521711,0,"peripheral"
"254",192,61,2,0.000213525,"cluster_1213",289,4,3,0.935414346693485,0.375,"peripheral"
"255",193,104,1,0.000340599,"cluster_1214",290,1,1,NA,0,"peripheral"
"256",194,24,2,0.00126316,"cluster_1215",291,10,9,2.82842712474619,0.34,"module hub"
"257",195,113,2,0.000340599,"cluster_1217",292,1,1,NA,0,"peripheral"
"258",196,7,1,0.000433008,"cluster_122",293,45,45,0.442483999432905,0.124444444444444,"peripheral"
"259",197,19,1,0.000252129,"cluster_1220",294,11,7,0.486531674141649,0.462809917355372,"peripheral"
"260",197,160,2,3.14197e-05,"cluster_1220",295,1,1,-0.5,0,"peripheral"
"261",199,6,1,0.00011794,"cluster_1222",297,4,3,-0.259024038452225,0.375,"peripheral"
"262",199,39,2,0.00159137,"cluster_1222",298,48,14,3.61478445646026,0.737847222222222,"network hub"
"263",200,1,1,0.000952096,"cluster_1223",299,137,133,0.926742201198915,0.200223773243114,"peripheral"
"264",200,2,2,6.8504e-05,"cluster_1223",300,3,3,-0.776521852001966,0,"peripheral"
"265",201,113,2,0.000340599,"cluster_1224",301,1,1,NA,0,"peripheral"
"266",202,22,1,0.000125963,"cluster_1227",302,3,1,-1.00779054521711,0.666666666666667,"connector"
"267",202,51,2,6.88785e-05,"cluster_1227",303,1,1,-0.894427190999916,0,"peripheral"
"268",203,31,1,0.000444063,"cluster_1228",304,9,8,2.71009147852614,0.197530864197531,"module hub"
"269",203,30,2,0.00011137,"cluster_1228",305,3,3,0.163663417676994,0.444444444444444,"peripheral"
"270",204,7,1,0.000433008,"cluster_123",306,45,45,0.442483999432905,0.161975308641975,"peripheral"
"271",205,4,1,5.60023e-05,"cluster_1231",307,6,6,-1.40249623453546,0.277777777777778,"peripheral"
"272",206,94,1,0.000149786,"cluster_1233",308,2,2,0.730296743340221,0,"peripheral"
"273",207,187,1,0.000215507,"cluster_1234",309,14,2,1.15470053837925,0.755102040816327,"connector"
"274",207,3,2,0.000206705,"cluster_1234",310,15,15,-0.493055775441373,0.124444444444444,"peripheral"
"275",209,7,1,0.000551635,"cluster_1236",312,51,51,0.806652246753791,0.176855055747789,"peripheral"
"276",210,4,1,0.000155953,"cluster_1237",313,15,12,-1.15632539787787,0.435555555555556,"peripheral"
"277",210,96,2,4.39364e-05,"cluster_1237",314,2,1,-0.544704779401922,0.5,"peripheral"
"278",211,1,1,0.000868321,"cluster_1238",315,132,122,0.743225406510723,0.318411386593205,"peripheral"
"279",211,12,2,0.000113069,"cluster_1238",316,4,1,-1.15222743347443,0.75,"connector"
"280",212,13,1,2.25495e-05,"cluster_1239",317,1,1,-1.73340667640201,0,"peripheral"
