"","node_id","module","layer_id","flow","node_name","state_node"
"1",1,1,1,0.000887243,"cluster_1",1
"2",3,1,1,0.00103915,"cluster_100",5
"3",7,1,1,0.000632503,"cluster_1003",11
"4",13,1,1,0.000431276,"cluster_101",21
"5",27,1,1,0.000623304,"cluster_1025",43
"6",28,1,1,0.000869969,"cluster_1026",45
"7",34,1,1,0.000481617,"cluster_1031",54
"8",59,1,1,0.000339462,"cluster_1059",90
"9",72,1,1,7.44531e-05,"cluster_1074",109
"10",87,1,1,0.000827034,"cluster_1093",128
"11",91,1,1,0.000519676,"cluster_1097",134
"12",94,1,1,0.000559348,"cluster_11",138
"13",102,1,1,0.000649872,"cluster_1109",152
"14",103,1,1,0.000767015,"cluster_111",154
"15",109,1,1,0.00068846,"cluster_1116",164
"16",110,1,1,4.23836e-05,"cluster_1118",166
"17",112,1,1,0.00131562,"cluster_112",170
"18",117,1,1,0.00118119,"cluster_1125",179
"19",118,1,1,0.000110403,"cluster_1127",181
"20",119,1,1,7.10508e-05,"cluster_1128",183
"21",126,1,1,0.00126756,"cluster_1135",194
"22",129,1,1,0.000838706,"cluster_114",199
"23",145,1,1,0.000440669,"cluster_1159",223
"24",146,1,1,0.000934684,"cluster_116",225
"25",147,1,1,0.000531124,"cluster_1160",227
"26",149,1,1,0.000586595,"cluster_1162",231
"27",151,1,1,0.00021362,"cluster_1165",234
"28",157,1,1,0.000378466,"cluster_1174",242
"29",160,1,1,2.69492e-05,"cluster_1177",248
"30",162,1,1,0.00105189,"cluster_1179",251
"31",164,1,1,8.22748e-05,"cluster_1181",255
"32",179,1,1,0.00145114,"cluster_1198",278
"33",180,1,1,7.12716e-06,"cluster_12",280
"34",185,1,1,0.000580553,"cluster_1203",287
"35",200,1,1,0.00132426,"cluster_1223",309
"36",217,1,1,0.000675143,"cluster_1244",334
"37",221,1,1,0.00124097,"cluster_1248",341
"38",222,1,1,4.36067e-05,"cluster_1250",343
"39",233,1,1,0.00032195,"cluster_1263",360
"40",240,1,1,0.00028564,"cluster_1272",371
"41",242,1,1,0.00123476,"cluster_1274",375
"42",243,1,1,8.14314e-05,"cluster_1275",377
"43",252,1,1,0.000403391,"cluster_1283",391
"44",255,1,1,0.000867096,"cluster_1287",397
"45",258,1,1,0.000607213,"cluster_1290",402
"46",264,1,1,0.000138365,"cluster_1298",410
"47",266,1,1,0.000740647,"cluster_13",413
"48",268,1,1,0.000779739,"cluster_1300",417
"49",269,1,1,0.000822843,"cluster_1301",419
"50",275,1,1,1.39807e-05,"cluster_131",428
"51",277,1,1,1.27148e-05,"cluster_1312",432
"52",280,1,1,0.000947325,"cluster_1316",437
