"","node_id","module","layer_id","flow","node_name","state_node"
"1",2,1,1,0.000338878,"cluster_10",3
"2",3,1,1,0.00106139,"cluster_100",5
"3",7,1,1,0.000211783,"cluster_1003",13
"4",8,1,1,0.000513353,"cluster_1004",15
"5",27,1,1,0.000475461,"cluster_1025",42
"6",28,1,1,0.000885989,"cluster_1026",44
"7",32,1,1,0.00047731,"cluster_103",51
"8",37,1,1,0.000735653,"cluster_1035",59
"9",74,1,1,4.39107e-05,"cluster_1076",115
"10",87,1,1,0.000669123,"cluster_1093",134
"11",94,1,1,0.000215299,"cluster_11",146
"12",112,1,1,0.00133853,"cluster_112",174
"13",121,1,1,0.000531679,"cluster_113",187
"14",126,1,1,0.00118373,"cluster_1135",195
"15",129,1,1,0.00109908,"cluster_114",200
"16",142,1,1,0.000452427,"cluster_1155",222
"17",146,1,1,0.00112557,"cluster_116",230
"18",147,1,1,5.80983e-05,"cluster_1160",232
"19",160,1,1,8.66031e-05,"cluster_1177",250
"20",163,1,1,0.000558208,"cluster_118",254
"21",179,1,1,0.00150669,"cluster_1198",279
"22",200,1,1,0.001033,"cluster_1223",310
"23",221,1,1,0.00109301,"cluster_1248",342
"24",223,1,1,0.000950157,"cluster_1251",345
"25",240,1,1,0.000137612,"cluster_1272",371
"26",242,1,1,0.000511212,"cluster_1274",373
"27",252,1,1,0.000454872,"cluster_1283",390
"28",255,1,1,0.000850456,"cluster_1287",396
"29",265,1,1,0.000543074,"cluster_1299",410
"30",275,1,1,0.000100546,"cluster_131",426
"31",281,1,1,0.000922593,"cluster_1318",437
"32",283,1,1,0.000359434,"cluster_132",440
"33",294,1,1,0.000595003,"cluster_1333",455
"34",296,1,1,0.000254261,"cluster_1335",459
"35",306,1,1,0.00138889,"cluster_1344",475
"36",310,1,1,1.64989e-05,"cluster_1348",482
"37",312,1,1,0.000354715,"cluster_1350",485
"38",313,1,1,0.00110993,"cluster_1351",487
"39",318,1,1,6.12807e-06,"cluster_1356",494
"40",329,1,1,0.000359381,"cluster_1366",511
"41",339,1,1,0.00077619,"cluster_138",527
"42",349,1,1,1.96467e-05,"cluster_1390",543
"43",352,1,1,0.000548506,"cluster_1393",546
"44",374,1,1,0.000474353,"cluster_1413",583
"45",388,1,1,0.000251876,"cluster_1431",602
"46",396,1,1,0.0013442,"cluster_1441",614
"47",398,1,1,0.000960081,"cluster_1443",617
"48",400,1,1,0.00120707,"cluster_1445",621
"49",406,1,1,0.000819447,"cluster_1453",631
"50",413,1,1,0.0005903,"cluster_1461",644
"51",423,1,1,0.000316886,"cluster_1475",660
"52",427,1,1,0.000951334,"cluster_1479",667
