"","node_id","module","layer_id","flow","node_name","state_node"
"1",2,1,1,0.000608597,"cluster_10",3
"2",3,1,1,0.00109855,"cluster_100",5
"3",5,1,1,0.000385274,"cluster_1001",9
"4",8,1,1,9.77222e-05,"cluster_1004",14
"5",10,1,1,0.00076849,"cluster_1007",18
"6",14,1,1,3.85752e-05,"cluster_1010",24
"7",15,1,1,0.00015419,"cluster_1012",26
"8",28,1,1,0.00127372,"cluster_1026",43
"9",32,1,1,0.000250355,"cluster_103",49
"10",39,1,1,0.00054801,"cluster_1037",60
"11",58,1,1,0.00068132,"cluster_1058",86
"12",59,1,1,0.000137564,"cluster_1059",88
"13",68,1,1,5.85938e-06,"cluster_107",100
"14",77,1,1,0.000285714,"cluster_108",114
"15",94,1,1,0.000851152,"cluster_11",139
"16",98,1,1,0.000955137,"cluster_1103",145
"17",100,1,1,0.000955137,"cluster_1106",149
"18",101,1,1,0.000576782,"cluster_1107",151
"19",103,1,1,0.000562088,"cluster_111",155
"20",104,1,1,0.000656525,"cluster_1111",157
"21",108,1,1,0.000711449,"cluster_1115",163
"22",109,1,1,0.00105171,"cluster_1116",165
"23",112,1,1,0.0017512,"cluster_112",169
"24",118,1,1,0.000185097,"cluster_1127",177
"25",119,1,1,0.000237461,"cluster_1128",179
"26",126,1,1,0.00110942,"cluster_1135",187
"27",129,1,1,0.000801535,"cluster_114",192
"28",131,1,1,0.000199138,"cluster_1141",195
"29",142,1,1,0.00116051,"cluster_1155",212
"30",145,1,1,0.00151621,"cluster_1159",217
"31",146,1,1,0.0010806,"cluster_116",219
"32",147,1,1,0.000259255,"cluster_1160",221
"33",149,1,1,0.00120872,"cluster_1162",224
"34",151,1,1,0.000680658,"cluster_1165",227
"35",160,1,1,0.000341239,"cluster_1177",240
"36",162,1,1,0.0017817,"cluster_1179",242
"37",163,1,1,0.000932895,"cluster_118",244
"38",164,1,1,0.000214312,"cluster_1181",246
"39",174,1,1,0.000131432,"cluster_1193",259
"40",179,1,1,0.000908152,"cluster_1198",268
"41",183,1,1,0.000955137,"cluster_1201",274
"42",185,1,1,0.00105156,"cluster_1203",278
"43",187,1,1,0.00011946,"cluster_1206",282
"44",200,1,1,0.000952096,"cluster_1223",299
"45",211,1,1,0.000868321,"cluster_1238",315
"46",213,1,1,0.000651042,"cluster_124",318
"47",217,1,1,0.000574251,"cluster_1244",323
"48",218,1,1,0.00104862,"cluster_1245",325
"49",220,1,1,7.15686e-05,"cluster_1247",328
"50",221,1,1,0.00115517,"cluster_1248",330
"51",222,1,1,0.000697774,"cluster_1250",332
"52",223,1,1,0.000307723,"cluster_1251",334
"53",226,1,1,0.000547153,"cluster_1254",340
"54",242,1,1,0.000549019,"cluster_1274",361
"55",243,1,1,0.000873304,"cluster_1275",363
"56",247,1,1,0.000117617,"cluster_1279",370
"57",251,1,1,0.000635755,"cluster_1282",376
"58",253,1,1,0.000142733,"cluster_1284",380
"59",255,1,1,0.000359614,"cluster_1287",384
"60",266,1,1,0.00109942,"cluster_13",401
"61",268,1,1,0.00106075,"cluster_1300",405
"62",272,1,1,5.19274e-05,"cluster_1306",412
"63",283,1,1,0.000481035,"cluster_132",427
"64",286,1,1,0.00060712,"cluster_1322",432
"65",296,1,1,0.000236158,"cluster_1335",448
"66",303,1,1,0.000734286,"cluster_1341",461
"67",304,1,1,0.000635755,"cluster_1342",463
"68",305,1,1,0.000942215,"cluster_1343",465
"69",306,1,1,0.00116468,"cluster_1344",467
"70",307,1,1,3.73137e-05,"cluster_1345",469
"71",309,1,1,9.93081e-05,"cluster_1347",473
"72",310,1,1,0.000273298,"cluster_1348",475
"73",312,1,1,0.000506165,"cluster_1350",479
"74",313,1,1,0.000486569,"cluster_1351",481
"75",315,1,1,0.000685319,"cluster_1353",484
"76",316,1,1,0.000213349,"cluster_1354",486
"77",318,1,1,0.000782459,"cluster_1356",490
"78",327,1,1,0.000255992,"cluster_1364",502
"79",328,1,1,0.000330697,"cluster_1365",504
"80",336,1,1,0.00153107,"cluster_1376",513
"81",338,1,1,0.000179127,"cluster_1379",517
"82",339,1,1,0.000522302,"cluster_138",519
"83",352,1,1,0.000528366,"cluster_1393",535
"84",362,1,1,0.000609991,"cluster_1401",551
"85",363,1,1,0.000628774,"cluster_1402",553
"86",371,1,1,0.000236449,"cluster_1410",566
"87",374,1,1,0.000294096,"cluster_1413",571
"88",381,1,1,0.000711933,"cluster_1422",580
"89",383,1,1,0.000254922,"cluster_1424",583
"90",385,1,1,0.00112802,"cluster_1426",586
"91",386,1,1,9.21468e-05,"cluster_143",588
"92",388,1,1,0.0010524,"cluster_1431",590
"93",393,1,1,6.56694e-06,"cluster_1437",599
"94",396,1,1,0.00113797,"cluster_1441",603
"95",398,1,1,0.00119567,"cluster_1443",607
"96",399,1,1,0.000635755,"cluster_1444",609
"97",400,1,1,0.00143356,"cluster_1445",611
"98",406,1,1,0.00159516,"cluster_1453",621
"99",407,1,1,0.000484482,"cluster_1455",623
"100",413,1,1,0.000237716,"cluster_1461",634
"101",414,1,1,0.000461356,"cluster_1464",636
"102",425,1,1,0.000669513,"cluster_1477",653
"103",427,1,1,0.00105599,"cluster_1479",656
"104",429,1,1,0.000127354,"cluster_1481",659
"105",435,1,1,8.87719e-05,"cluster_1487",671
"106",436,1,1,9.56728e-05,"cluster_149",672
"107",437,1,1,0.000590883,"cluster_1490",673
"108",444,1,1,0.00040195,"cluster_1498",684
"109",446,1,1,0.00152177,"cluster_15",688
"110",447,1,1,0.000175207,"cluster_150",690
"111",453,1,1,0.000600486,"cluster_1505",700
"112",456,1,1,1.48383e-05,"cluster_1508",706
"113",459,1,1,0.000942966,"cluster_1510",711
"114",462,1,1,0.000115416,"cluster_1513",716
"115",471,1,1,0.000969189,"cluster_1521",727
"116",482,1,1,7.04922e-05,"cluster_1532",741
"117",483,1,1,0.000250207,"cluster_1533",742
"118",485,1,1,0.000956951,"cluster_1535",746
"119",486,1,1,0.000228783,"cluster_1537",748
"120",496,1,1,0.000746678,"cluster_1547",765
"121",501,1,1,8.85637e-05,"cluster_1551",772
"122",504,1,1,0.000227464,"cluster_1554",777
"123",509,1,1,0.000974742,"cluster_156",785
"124",510,1,1,0.000523331,"cluster_1560",787
"125",513,1,1,0.00143043,"cluster_1565",792
"126",523,1,1,0.000360413,"cluster_1575",809
"127",527,1,1,0.000346341,"cluster_158",815
"128",534,1,1,0.00144713,"cluster_159",825
"129",540,1,1,0.000283906,"cluster_1596",834
"130",541,1,1,0.000730505,"cluster_1597",836
"131",548,1,1,0.000220265,"cluster_1603",847
"132",549,1,1,0.000716894,"cluster_1604",849
"133",553,1,1,0.000154271,"cluster_1608",855
"134",554,1,1,0.00153381,"cluster_1609",857
"135",555,1,1,0.000747641,"cluster_161",859
"136",559,1,1,0.000273562,"cluster_1617",865
"137",563,1,1,0.000891628,"cluster_1622",873
"138",565,1,1,0.000635755,"cluster_1624",876
"139",569,1,1,0.000140589,"cluster_1628",882
"140",570,1,1,0.000470163,"cluster_163",884
"141",573,1,1,0.000792931,"cluster_1633",889
"142",574,1,1,5.35962e-06,"cluster_1634",891
"143",579,1,1,0.000623274,"cluster_1639",899
"144",582,1,1,0.00102405,"cluster_1641",904
"145",593,1,1,0.000137564,"cluster_1653",920
"146",594,1,1,0.000355277,"cluster_1654",922
"147",596,1,1,0.000174188,"cluster_1657",925
"148",597,1,1,0.000625361,"cluster_1658",927
"149",599,1,1,2.22633e-05,"cluster_166",930
"150",600,1,1,0.000279392,"cluster_1660",931
"151",608,1,1,0.000615717,"cluster_1668",943
"152",612,1,1,0.000383505,"cluster_1671",948
"153",622,1,1,0.000937748,"cluster_1683",963
"154",637,1,1,5.39592e-06,"cluster_1701",985
"155",638,1,1,0.000603052,"cluster_1702",986
"156",642,1,1,0.000739126,"cluster_1706",992
"157",644,1,1,1.13339e-05,"cluster_1708",995
"158",651,1,1,0.000955137,"cluster_1716",1006
"159",653,1,1,5.4505e-05,"cluster_1718",1009
"160",655,1,1,0.000977697,"cluster_172",1011
"161",659,1,1,0.000871784,"cluster_1723",1016
"162",663,1,1,0.0017493,"cluster_1727",1023
"163",671,1,1,0.0017752,"cluster_1737",1036
"164",675,1,1,0.000439839,"cluster_1740",1042
"165",677,1,1,0.000136162,"cluster_1742",1046
"166",683,1,1,0.000950305,"cluster_1748",1056
"167",690,1,1,0.000741549,"cluster_1754",1067
"168",693,1,1,0.000426246,"cluster_1757",1073
"169",697,1,1,0.000598161,"cluster_1760",1080
"170",701,1,1,0.000734796,"cluster_1764",1086
"171",704,1,1,0.000509666,"cluster_1768",1091
"172",726,1,1,0.00105763,"cluster_1791",1121
