"","node_id","module","layer_id","flow","node_name","state_node"
"1",2,1,1,0.000251602,"cluster_10",3
"2",3,1,1,0.000985037,"cluster_100",5
"3",7,1,1,0.000641506,"cluster_1003",12
"4",8,1,1,0.000323322,"cluster_1004",14
"5",26,1,1,0.000449561,"cluster_1024",41
"6",37,1,1,0.00117713,"cluster_1035",60
"7",94,1,1,0.000757795,"cluster_11",151
"8",112,1,1,0.00148505,"cluster_112",180
"9",117,1,1,0.000228365,"cluster_1125",186
"10",121,1,1,7.11537e-06,"cluster_113",192
"11",128,1,1,4.88771e-05,"cluster_1138",203
"12",129,1,1,0.000604697,"cluster_114",204
"13",139,1,1,0.000316336,"cluster_1151",217
"14",142,1,1,0.000620037,"cluster_1155",222
"15",146,1,1,0.000958252,"cluster_116",228
"16",174,1,1,2.63599e-05,"cluster_1193",266
"17",179,1,1,0.000847499,"cluster_1198",275
"18",180,1,1,5.69846e-05,"cluster_12",277
"19",200,1,1,0.00142337,"cluster_1223",305
"20",218,1,1,0.000246016,"cluster_1245",332
"21",221,1,1,0.00136397,"cluster_1248",338
"22",228,1,1,5.16909e-06,"cluster_1256",349
"23",240,1,1,0.000122199,"cluster_1272",367
"24",242,1,1,0.000357848,"cluster_1274",370
"25",280,1,1,0.000524368,"cluster_1316",430
"26",281,1,1,0.00019349,"cluster_1318",432
"27",294,1,1,0.000679579,"cluster_1333",451
"28",312,1,1,0.000114123,"cluster_1350",482
"29",313,1,1,0.000959757,"cluster_1351",483
"30",315,1,1,1.24182e-05,"cluster_1353",486
"31",326,1,1,0.000344489,"cluster_1363",501
"32",339,1,1,0.000476705,"cluster_138",522
"33",348,1,1,0.000340105,"cluster_139",533
"34",352,1,1,0.000662518,"cluster_1393",537
"35",355,1,1,0.000879563,"cluster_1396",542
"36",374,1,1,0.000620183,"cluster_1413",572
"37",386,1,1,6.39741e-06,"cluster_143",586
"38",388,1,1,0.000831951,"cluster_1431",589
"39",396,1,1,0.000744028,"cluster_1441",602
"40",398,1,1,0.00074477,"cluster_1443",605
"41",400,1,1,0.00110436,"cluster_1445",609
"42",406,1,1,0.000785127,"cluster_1453",618
"43",413,1,1,0.00104398,"cluster_1461",631
"44",435,1,1,0.00037968,"cluster_1487",668
"45",442,1,1,3.11735e-05,"cluster_1496",679
"46",444,1,1,0.00114898,"cluster_1498",683
"47",446,1,1,0.000399021,"cluster_15",686
"48",447,1,1,0.000380845,"cluster_150",688
"49",458,1,1,0.000572791,"cluster_151",705
"50",460,1,1,6.27674e-06,"cluster_1511",709
"51",473,1,1,0.000452362,"cluster_1523",729
"52",494,1,1,0.000523722,"cluster_1545",762
"53",496,1,1,0.000949199,"cluster_1547",765
"54",508,1,1,0.000258386,"cluster_1559",784
"55",510,1,1,0.000113976,"cluster_1560",788
"56",513,1,1,0.00153198,"cluster_1565",792
"57",530,1,1,9.68233e-05,"cluster_1583",818
"58",532,1,1,0.000223167,"cluster_1587",821
"59",547,1,1,0.00100221,"cluster_1602",844
"60",563,1,1,0.00128901,"cluster_1622",867
"61",570,1,1,0.00135674,"cluster_163",877
"62",582,1,1,0.00128649,"cluster_1641",895
"63",597,1,1,0.00104047,"cluster_1658",914
"64",602,1,1,1.79015e-05,"cluster_1662",921
"65",612,1,1,0.000350787,"cluster_1671",935
"66",622,1,1,0.000880022,"cluster_1683",948
"67",630,1,1,0.000280915,"cluster_1693",961
"68",637,1,1,0.000353235,"cluster_1701",972
"69",640,1,1,0.000237022,"cluster_1704",976
"70",651,1,1,0.000333705,"cluster_1716",996
"71",659,1,1,0.00134383,"cluster_1723",1011
"72",673,1,1,8.56149e-05,"cluster_1739",1033
"73",687,1,1,0.000264029,"cluster_1751",1053
"74",697,1,1,0.00144186,"cluster_1760",1069
"75",702,1,1,7.68041e-05,"cluster_1766",1077
"76",714,1,1,0.000140583,"cluster_1777",1092
"77",718,1,1,6.74223e-05,"cluster_1780",1100
"78",723,1,1,0.000667585,"cluster_1789",1106
"79",727,1,1,0.000439577,"cluster_1792",1113
"80",739,1,1,0.00102249,"cluster_1806",1132
"81",750,1,1,0.000568272,"cluster_182",1148
"82",759,1,1,0.00151338,"cluster_1830",1161
"83",760,1,1,0.000757822,"cluster_1831",1163
"84",769,1,1,0.00158478,"cluster_1842",1179
"85",770,1,1,0.000440377,"cluster_1843",1181
"86",787,1,1,0.00112725,"cluster_1861",1207
"87",792,1,1,0.000374236,"cluster_1867",1215
"88",804,1,1,0.0013591,"cluster_1878",1235
"89",805,1,1,0.000681879,"cluster_1879",1237
"90",809,1,1,0.000410843,"cluster_1883",1243
"91",812,1,1,0.000158117,"cluster_1887",1247
"92",820,1,1,0.000921225,"cluster_1895",1259
"93",833,1,1,4.02355e-05,"cluster_1908",1279
"94",842,1,1,4.61943e-06,"cluster_1918",1291
"95",844,1,1,0.000865894,"cluster_192",1295
"96",846,1,1,0.00065869,"cluster_1921",1298
"97",849,1,1,0.000307515,"cluster_1924",1303
"98",860,1,1,0.000393745,"cluster_1934",1319
"99",861,1,1,3.62599e-05,"cluster_1935",1320
"100",866,1,1,0.000912198,"cluster_194",1327
"101",873,1,1,0.000639802,"cluster_1949",1339
"102",877,1,1,0.000446099,"cluster_1953",1346
"103",880,1,1,0.00107939,"cluster_1956",1351
"104",884,1,1,0.000128577,"cluster_1960",1357
"105",885,1,1,0.0011431,"cluster_1961",1359
"106",890,1,1,0.000156085,"cluster_1966",1367
"107",891,1,1,0.000677364,"cluster_1967",1368
"108",894,1,1,0.000854171,"cluster_1970",1373
"109",898,1,1,0.000340105,"cluster_1975",1379
"110",899,1,1,0.000410146,"cluster_1976",1380
"111",903,1,1,0.000429011,"cluster_198",1387
"112",904,1,1,0.000433766,"cluster_1980",1389
"113",926,1,1,0.000811162,"cluster_200",1424
"114",950,1,1,0.000371626,"cluster_2023",1460
"115",954,1,1,0.000330265,"cluster_2027",1466
"116",959,1,1,0.000561889,"cluster_2031",1474
"117",965,1,1,8.20823e-05,"cluster_2038",1483
"118",972,1,1,1.19747e-05,"cluster_2046",1493
"119",979,1,1,0.000995942,"cluster_2052",1504
"120",987,1,1,2.84809e-05,"cluster_2063",1516
"121",992,1,1,7.11673e-06,"cluster_2068",1524
"122",999,1,1,9.9824e-05,"cluster_2074",1535
"123",1001,1,1,0.00106301,"cluster_2076",1539
"124",1002,1,1,0.000480529,"cluster_2077",1541
"125",1003,1,1,0.000399154,"cluster_2079",1543
"126",1004,1,1,0.000243075,"cluster_208",1545
"127",1005,1,1,0.00142539,"cluster_2080",1546
"128",1011,1,1,0.0001792,"cluster_2089",1557
"129",1014,1,1,0.00118207,"cluster_2091",1562
"130",1021,1,1,0.000831402,"cluster_2098",1572
"131",1025,1,1,0.000336384,"cluster_2100",1578
"132",1029,1,1,0.00110329,"cluster_2105",1582
"133",1030,1,1,0.000476907,"cluster_2106",1584
"134",1034,1,1,0.000685789,"cluster_2111",1591
"135",1040,1,1,0.000862982,"cluster_2117",1600
"136",1048,1,1,0.000340105,"cluster_2124",1612
"137",1051,1,1,0.000340289,"cluster_2127",1616
"138",1054,1,1,8.0514e-06,"cluster_2130",1622
"139",1056,1,1,0.000855628,"cluster_2132",1624
"140",1063,1,1,0.000500392,"cluster_214",1635
"141",1067,1,1,0.000746615,"cluster_2143",1639
"142",1068,1,1,0.0002542,"cluster_2144",1641
"143",1074,1,1,0.00143443,"cluster_2151",1650
"144",1086,1,1,0.0011942,"cluster_2167",1668
"145",1087,1,1,0.000685547,"cluster_2168",1670
"146",1090,1,1,0.00113587,"cluster_2170",1676
"147",1094,1,1,0.00122483,"cluster_2174",1684
"148",1096,1,1,0.000475414,"cluster_2178",1687
"149",1101,1,1,0.000251081,"cluster_2183",1695
"150",1109,1,1,0.000928101,"cluster_2193",1706
"151",1117,1,1,0.000813732,"cluster_2200",1716
"152",1124,1,1,0.000990809,"cluster_2207",1727
"153",1126,1,1,0.000340105,"cluster_221",1730
"154",1133,1,1,0.000794823,"cluster_2216",1738
"155",1134,1,1,0.000670073,"cluster_2217",1740
"156",1136,1,1,0.000418728,"cluster_2219",1743
"157",1141,1,1,0.000863265,"cluster_2223",1752
"158",1145,1,1,0.00135365,"cluster_2227",1759
"159",1146,1,1,0.000941818,"cluster_2228",1761
"160",1149,1,1,0.00122055,"cluster_2230",1765
"161",1164,1,1,0.00112562,"cluster_2247",1789
"162",1168,1,1,0.0010377,"cluster_2250",1796
"163",1169,1,1,1.14929e-05,"cluster_2251",1798
"164",1171,1,1,7.29647e-06,"cluster_2253",1800
"165",1176,1,1,0.000716142,"cluster_2258",1807
"166",1179,1,1,0.000847455,"cluster_2261",1812
"167",1180,1,1,0.000937025,"cluster_2262",1814
"168",1189,1,1,0.000130539,"cluster_2270",1827
"169",1193,1,1,0.000981907,"cluster_2274",1835
"170",1195,1,1,0.00104349,"cluster_2276",1838
"171",1196,1,1,0.000179659,"cluster_2277",1840
"172",1198,1,1,5.01199e-05,"cluster_2279",1842
"173",1201,1,1,0.0012818,"cluster_2282",1846
"174",1202,1,1,0.000315996,"cluster_2283",1847
"175",1207,1,1,0.000590662,"cluster_2288",1856
"176",1210,1,1,0.00133478,"cluster_2292",1861
"177",1213,1,1,0.00118875,"cluster_2295",1866
"178",1215,1,1,0.000320582,"cluster_2297",1869
"179",1217,1,1,0.000531215,"cluster_2299",1872
"180",1220,1,1,0.00151411,"cluster_2300",1878
"181",1228,1,1,0.000763554,"cluster_2308",1892
"182",1229,1,1,0.000904358,"cluster_231",1894
"183",1233,1,1,0.000870192,"cluster_2313",1900
