"","node_id","module","layer_id","flow","node_name","state_node"
"1",3,1,1,0.00128657,"cluster_100",4
"2",27,1,1,0.000382503,"cluster_1025",40
"3",28,1,1,0.00129654,"cluster_1026",42
"4",43,1,1,0.000388048,"cluster_1040",62
"5",87,1,1,0.000955945,"cluster_1093",128
"6",94,1,1,0.000773537,"cluster_11",138
"7",103,1,1,0.000229801,"cluster_111",152
"8",112,1,1,0.000829466,"cluster_112",167
"9",113,1,1,2.04124e-05,"cluster_1120",169
"10",119,1,1,8.39641e-05,"cluster_1128",177
"11",126,1,1,0.00108327,"cluster_1135",185
"12",129,1,1,0.000913504,"cluster_114",189
"13",136,1,1,0.000124024,"cluster_1149",200
"14",139,1,1,0.000166234,"cluster_1151",205
"15",145,1,1,0.000807818,"cluster_1159",213
"16",146,1,1,0.000408232,"cluster_116",215
"17",148,1,1,0.000151247,"cluster_1161",218
"18",149,1,1,0.000921364,"cluster_1162",219
"19",151,1,1,0.000256046,"cluster_1165",222
"20",162,1,1,0.000790584,"cluster_1179",239
"21",163,1,1,0.000966982,"cluster_118",241
"22",164,1,1,9.35539e-06,"cluster_1181",243
"23",179,1,1,0.00128537,"cluster_1198",263
"24",180,1,1,0.000229386,"cluster_12",265
"25",185,1,1,0.00119211,"cluster_1203",273
"26",188,1,1,1.0355e-05,"cluster_1208",278
"27",200,1,1,0.00121028,"cluster_1223",294
"28",207,1,1,0.000905664,"cluster_1234",303
"29",211,1,1,0.000486422,"cluster_1238",308
"30",217,1,1,0.00067924,"cluster_1244",317
"31",221,1,1,0.00135005,"cluster_1248",325
"32",222,1,1,0.000729515,"cluster_1250",327
"33",229,1,1,5.58686e-06,"cluster_1258",337
"34",232,1,1,3.83206e-06,"cluster_1262",342
"35",239,1,1,0.000697797,"cluster_1271",352
"36",243,1,1,0.000297005,"cluster_1275",359
"37",252,1,1,4.69542e-06,"cluster_1283",373
"38",255,1,1,0.000397735,"cluster_1287",378
"39",257,1,1,0.000850457,"cluster_129",381
"40",260,1,1,0.00038419,"cluster_1293",385
"41",265,1,1,0.000444427,"cluster_1299",392
"42",268,1,1,7.59248e-05,"cluster_1300",397
"43",275,1,1,8.5266e-05,"cluster_131",407
"44",281,1,1,0.000636769,"cluster_1318",417
"45",283,1,1,0.000338625,"cluster_132",420
"46",286,1,1,5.45765e-05,"cluster_1322",425
"47",289,1,1,0.000215281,"cluster_1328",428
"48",294,1,1,0.000144908,"cluster_1333",436
"49",306,1,1,0.0009811,"cluster_1344",454
"50",312,1,1,0.000319352,"cluster_1350",464
"51",313,1,1,0.000596579,"cluster_1351",466
